"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Napa County, CA"	"06055"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	15513	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	4271	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	10	62782	Unreliable	7.64	29.29
	"Napa County, CA"	"06055"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	980	Unreliable	0.00	0.00
	"Napa County, CA"	"06055"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	17377	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	0	5196	Unreliable	0.00	0.00
	"Napa County, CA"	"06055"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	36	71518	50.34	35.26	69.69
	"Napa County, CA"	"06055"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	764	Unreliable	0.00	0.00
	"Napa County, CA"	"06055"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	14495	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	4305	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	77	78484	98.11	77.43	122.62
	"Napa County, CA"	"06055"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	833	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	16	19072	Unreliable	47.95	136.24
	"Napa County, CA"	"06055"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	4159	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	124	82228	150.80	124.26	177.34
	"Napa County, CA"	"06055"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1105	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	22	17532	125.48	78.64	189.99
	"Napa County, CA"	"06055"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	13	5333	Unreliable	129.80	416.85
	"Napa County, CA"	"06055"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	360	109274	329.45	295.41	363.48
	"Napa County, CA"	"06055"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1302	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	47	15678	299.78	220.27	398.65
	"Napa County, CA"	"06055"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	35	4370	800.92	557.87	1113.88
	"Napa County, CA"	"06055"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	946	131686	718.38	672.60	764.15
	"Napa County, CA"	"06055"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	15	795	Unreliable	1056.02	3111.98
	"Napa County, CA"	"06055"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	91	9888	920.31	740.98	1129.94
	"Napa County, CA"	"06055"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	40	2316	1727.12	1233.87	2351.85
	"Napa County, CA"	"06055"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	1629	108448	1502.10	1429.16	1575.05
	"Napa County, CA"	"06055"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	13	323	Unreliable	2143.03	6882.47
	"Napa County, CA"	"06055"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	149	5000	2980.00	2501.50	3458.50
	"Napa County, CA"	"06055"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	63	943	6680.81	5133.73	8547.62
	"Napa County, CA"	"06055"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	2481	59457	4172.76	4008.57	4336.96
	"Napa County, CA"	"06055"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	16	116	Unreliable	7884.00	22399.17
	"Napa County, CA"	"06055"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	164	2124	7721.28	6539.54	8903.02
	"Napa County, CA"	"06055"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	47	419	11217.18	8241.94	14916.50
	"Napa County, CA"	"06055"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	4624	30734	15045.23	14611.57	15478.88
	"Napa County, CA"	"06055"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	264	Unreliable	0.00	0.00
	"San Francisco County, CA"	"06075"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	63	24987	252.13	193.75	322.58
	"San Francisco County, CA"	"06075"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	33	4760	693.28	477.22	973.62
	"San Francisco County, CA"	"06075"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	82	39848	205.78	163.66	255.43
	"San Francisco County, CA"	"06075"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	905	Unreliable	0.00	0.00
	"San Francisco County, CA"	"06075"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	15	90034	Unreliable	9.32	27.48
	"San Francisco County, CA"	"06075"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	10	19061	Unreliable	25.16	96.48
	"San Francisco County, CA"	"06075"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	11	119521	Unreliable	4.59	16.47
	"San Francisco County, CA"	"06075"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	1617	Unreliable	0.00	0.00
	"San Francisco County, CA"	"06075"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	14	218368	Unreliable	3.51	10.76
	"San Francisco County, CA"	"06075"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	12	45218	Unreliable	13.71	46.36
	"San Francisco County, CA"	"06075"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	15	189096	Unreliable	4.44	13.08
	"San Francisco County, CA"	"06075"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2844	Suppressed	Suppressed	Suppressed
	"San Francisco County, CA"	"06075"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	83	318810	26.03	20.74	32.27
	"San Francisco County, CA"	"06075"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	116	62902	184.41	150.85	217.97
	"San Francisco County, CA"	"06075"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	102	260397	39.17	31.57	46.77
	"San Francisco County, CA"	"06075"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5606	Suppressed	Suppressed	Suppressed
	"San Francisco County, CA"	"06075"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	182	603120	30.18	25.79	34.56
	"San Francisco County, CA"	"06075"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	168	85070	197.48	167.62	227.35
	"San Francisco County, CA"	"06075"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	418	971927	43.01	38.88	47.13
	"San Francisco County, CA"	"06075"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	10	4130	Unreliable	116.11	445.29
	"San Francisco County, CA"	"06075"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	331	440676	75.11	67.02	83.20
	"San Francisco County, CA"	"06075"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	255	62408	408.60	358.45	458.75
	"San Francisco County, CA"	"06075"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	776	645831	120.16	111.70	128.61
	"San Francisco County, CA"	"06075"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	28	4230	661.94	439.85	956.69
	"San Francisco County, CA"	"06075"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	773	415042	186.25	173.12	199.38
	"San Francisco County, CA"	"06075"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	631	67860	929.86	857.30	1002.41
	"San Francisco County, CA"	"06075"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	1534	496342	309.06	293.59	324.53
	"San Francisco County, CA"	"06075"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	48	2704	1775.15	1308.85	2353.58
	"San Francisco County, CA"	"06075"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1669	419355	397.99	378.90	417.09
	"San Francisco County, CA"	"06075"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1371	69627	1969.06	1864.83	2073.29
	"San Francisco County, CA"	"06075"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	2911	409499	710.87	685.04	736.69
	"San Francisco County, CA"	"06075"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	37	1700	2176.47	1532.43	2999.98
	"San Francisco County, CA"	"06075"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	2432	291608	834.00	800.85	867.14
	"San Francisco County, CA"	"06075"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1283	42831	2995.49	2831.58	3159.41
	"San Francisco County, CA"	"06075"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	4130	291622	1416.22	1373.02	1459.41
	"San Francisco County, CA"	"06075"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	26	715	3636.36	2375.38	5328.11
	"San Francisco County, CA"	"06075"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	5043	184583	2732.10	2656.70	2807.51
	"San Francisco County, CA"	"06075"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1206	23245	5188.21	4895.39	5481.03
	"San Francisco County, CA"	"06075"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	4952	143566	3449.28	3353.21	3545.36
	"San Francisco County, CA"	"06075"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	23	286	8041.96	5097.88	12066.88
	"San Francisco County, CA"	"06075"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	9092	97769	9299.47	9108.32	9490.63
	"San Francisco County, CA"	"06075"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1497	11483	13036.66	12376.26	13697.07
	"San Francisco County, CA"	"06075"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	9761	77569	12583.64	12333.99	12833.28
	"San Francisco County, CA"	"06075"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	190	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	78	27250	286.24	226.26	357.24
	"San Mateo County, CA"	"06081"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	17	2939	Unreliable	336.96	926.12
	"San Mateo County, CA"	"06081"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	59	28822	204.70	155.83	264.05
	"San Mateo County, CA"	"06081"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	718	Unreliable	0.00	0.00
	"San Mateo County, CA"	"06081"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	14	103017	Unreliable	7.43	22.80
	"San Mateo County, CA"	"06081"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	10539	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	123628	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	1852	Unreliable	0.00	0.00
	"San Mateo County, CA"	"06081"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	30	243175	12.34	8.32	17.61
	"San Mateo County, CA"	"06081"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	25022	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	22	318297	6.91	4.33	10.46
	"San Mateo County, CA"	"06081"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1969	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	59	226521	26.05	19.83	33.60
	"San Mateo County, CA"	"06081"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	31	26818	115.59	78.54	164.08
	"San Mateo County, CA"	"06081"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	111	277500	40.00	32.56	47.44
	"San Mateo County, CA"	"06081"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2229	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	128	392549	32.61	26.96	38.26
	"San Mateo County, CA"	"06081"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	42	31544	133.15	95.96	179.98
	"San Mateo County, CA"	"06081"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	246	361754	68.00	59.50	76.50
	"San Mateo County, CA"	"06081"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1848	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	243	387272	62.75	54.86	70.64
	"San Mateo County, CA"	"06081"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	49	26215	186.92	138.28	247.11
	"San Mateo County, CA"	"06081"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	349	398255	87.63	78.44	96.83
	"San Mateo County, CA"	"06081"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2210	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	523	329298	158.82	145.21	172.43
	"San Mateo County, CA"	"06081"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	139	29308	474.27	395.43	553.12
	"San Mateo County, CA"	"06081"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	1086	485246	223.80	210.49	237.11
	"San Mateo County, CA"	"06081"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	16	2438	Unreliable	375.12	1065.75
	"San Mateo County, CA"	"06081"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1078	292092	369.06	347.03	391.09
	"San Mateo County, CA"	"06081"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	334	28401	1176.01	1049.89	1302.14
	"San Mateo County, CA"	"06081"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	2748	492457	558.02	537.15	578.88
	"San Mateo County, CA"	"06081"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	20	1453	1376.46	840.78	2125.84
	"San Mateo County, CA"	"06081"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1559	188837	825.58	784.60	866.56
	"San Mateo County, CA"	"06081"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	374	18819	1987.35	1785.94	2188.77
	"San Mateo County, CA"	"06081"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	4402	349393	1259.90	1222.68	1297.12
	"San Mateo County, CA"	"06081"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	18	533	Unreliable	2001.48	5337.29
	"San Mateo County, CA"	"06081"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	2296	91254	2516.05	2413.14	2618.97
	"San Mateo County, CA"	"06081"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	515	11129	4627.55	4227.88	5027.22
	"San Mateo County, CA"	"06081"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	7000	193236	3622.51	3537.65	3707.38
	"San Mateo County, CA"	"06081"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	12	256	Unreliable	2422.08	8188.12
	"San Mateo County, CA"	"06081"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	3142	38847	8088.14	7805.33	8370.96
	"San Mateo County, CA"	"06081"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	524	4792	10934.89	9998.61	11871.17
	"San Mateo County, CA"	"06081"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	14550	111053	13101.85	12888.96	13314.74
	"San Mateo County, CA"	"06081"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	643	Suppressed	Suppressed	Suppressed
	"Santa Clara County, CA"	"06085"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	221	76802	287.75	249.81	325.69
	"Santa Clara County, CA"	"06085"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	39	7338	531.48	377.94	726.55
	"Santa Clara County, CA"	"06085"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	165	61074	270.16	228.94	311.39
	"Santa Clara County, CA"	"06085"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	2742	Unreliable	0.00	0.00
	"Santa Clara County, CA"	"06085"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	45	342168	13.15	9.59	17.60
	"Santa Clara County, CA"	"06085"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	26685	Suppressed	Suppressed	Suppressed
	"Santa Clara County, CA"	"06085"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	29	243153	11.93	7.99	17.13
	"Santa Clara County, CA"	"06085"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	7423	Unreliable	0.00	0.00
	"Santa Clara County, CA"	"06085"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	70	852343	8.21	6.40	10.38
	"Santa Clara County, CA"	"06085"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	65196	Suppressed	Suppressed	Suppressed
	"Santa Clara County, CA"	"06085"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	50	625850	7.99	5.93	10.53
	"Santa Clara County, CA"	"06085"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	7902	Suppressed	Suppressed	Suppressed
	"Santa Clara County, CA"	"06085"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	220	751667	29.27	25.40	33.14
	"Santa Clara County, CA"	"06085"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	49	78969	62.05	45.90	82.03
	"Santa Clara County, CA"	"06085"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	293	673120	43.53	38.54	48.51
	"Santa Clara County, CA"	"06085"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	7944	Suppressed	Suppressed	Suppressed
	"Santa Clara County, CA"	"06085"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	337	1223563	27.54	24.60	30.48
	"Santa Clara County, CA"	"06085"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	68	87329	77.87	60.47	98.71
